,ic50,smiles,MaxAbsPartialCharge,MaxAbsEStateIndex,MinPartialCharge,NumValenceElectrons,MaxPartialCharge,MinAbsPartialCharge,MinEStateIndex,ExactMolWt,MaxEStateIndex,MinAbsEStateIndex,HeavyAtomMolWt,MolWt,NumRadicalElectrons,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,31.055,CC(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)c1,0.5079559973201259,10.188794501192211,-0.5079559973201259,190.0,0.11888315559793107,0.11888315559793107,-0.35791943378591085,484.30897852,10.188794501192211,0.3368597687650601,444.3640000000003,484.68400000000037,0.0,1.4361002773229348,1167.0280625760993,25.122745096813745,22.04205333791817,22.04205333791817,17.44654543970285,13.606228082515791,13.606228082515791,10.840128708560174,10.840128708560174,8.147773356606749,8.147773356606749,5.964870557204367,5.964870557204367,-2.9799999999999995,174799167.61632454,24.702840557223592,10.558342717555899,4.967170295154921,216.07056514822872,14.743300079491233,18.105905631080727,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,0.0,50.6001313646153,103.84562930401287,18.776899086508713,5.538925252383345,9.843390348640755,5.687386274683562,0.0,4.899909730850478,0.0,57.911329389320656,37.6858173190137,88.98384371986572,0.0,11.49902366656781,9.636772684650527,5.687386274683562,11.49902366656781,0.0,42.7923447138544,11.959746875309355,0.0,68.20538848079929,66.73003775307771,0.0,0.0,0.0,35.940000000000005,0.0,5.106527394840706,0.0,5.538925252383345,11.6674178794453,31.866728232547985,60.29316992207473,0.0,12.13273413692322,85.16833467692734,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.24999999999999,0.4375,36,1,4,0,2,2,3,0,3,4,1,4,7,0,1,1,5,6.706500000000008,148.36979999999977,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4.7,CCc1c(O)ccc2c1O[C@H](c1ccc(OCCN3CCCCC3)cc1)[C@H](c1ccc(O)cc1)S2,0.5079666337506689,10.412778692205624,-0.5079666337506689,184.0,0.14027029209229624,0.14027029209229624,-0.24394185902347942,491.213029536,10.412778692205624,0.0029804258887324853,458.3890000000003,491.65300000000025,0.0,1.368494251285522,1126.668756591332,24.200095366003378,20.151443137659356,20.967939718587083,17.118524838379198,12.54311077154969,13.422763582804585,9.232289309627568,10.415685763021953,6.882104147627718,8.23080950601137,4.925974287561768,6.254014204947152,-2.829999999999999,129128986.27852336,23.89063250911185,10.835690422766632,5.386500536807849,211.24679414190362,19.68678069728151,35.70889568539684,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,11.761884949391115,37.61002709646307,79.87708307476684,12.10820789760957,10.14542150549995,19.68678069728151,11.761884949391115,0.0,4.899909730850478,0.0,48.85641158464291,26.241151182250643,77.3540251597071,0.0,22.99804733313562,9.473725907600098,0.0,22.99804733313562,11.761884949391115,41.35411570278253,6.4208216229260096,0.0,54.23046096129012,65.55915416013387,0.0,0.0,0.0,62.16,0.0,10.213054789681411,0.0,22.852928084298288,13.027703587438928,39.629618023089144,32.35197768060318,29.960986154775945,37.255572541998674,17.032643867773697,9.473725907600098,0.0,1.736495986625926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.09683734670742,0.3793103448275862,35,2,5,0,2,2,3,0,3,6,2,6,7,0,1,1,5,6.492000000000006,139.7865999999999,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,24.8,Cc1ccc(S(=O)(=O)N2CCc3cc(O)ccc3C2c2ccc(OCCN3CCCC3)cc2)cc1,0.5079560082282727,13.740342055685462,-0.5079560082282727,184.0,0.24345076953879347,0.24345076953879347,-3.728670412089769,492.20827850399996,13.740342055685462,0.19360370952764705,460.38500000000033,492.64100000000036,0.0,1.4349385554253586,1267.3143606208628,24.4156383156272,20.05969142812322,20.876188009050942,16.913853369251743,12.27121963737888,13.71128296617952,9.43070655033206,11.321261151204453,7.008992114208783,8.88772883189047,5.085865393316334,6.681139871649856,-2.869999999999999,127412567.0417254,23.85245272610539,10.011467738610598,5.077246227269346,207.37157258305737,9.843390348640755,18.105905631080727,0.0,10.023291153407584,0.0,0.0,4.899909730850478,8.417796984328938,4.305215991296234,0.0,35.89528683400505,92.36427176615446,13.08951281182515,10.937324304665736,18.26118733296969,10.023291153407584,0.0,9.205125722146711,0.0,37.12352637313439,32.78590758816322,88.98384371986572,0.0,11.49902366656781,4.736862953800049,0.0,11.49902366656781,0.0,55.51535768947957,16.444112776333593,6.923737199690624,41.13729004178796,71.62552122859549,0.0,0.0,0.0,70.08,16.065131982555545,13.524324379169643,0.0,10.644995308801679,19.572459993351504,47.63758701780961,12.841643245852019,28.570684265142674,49.38830667892189,4.899909730850478,4.736862953800049,0.0,-3.728670412089769,0.0,0.0,0.0,0.0,0.0,0.0,29.06430012683894,52.0810369519175,0.35714285714285715,35,1,6,0,2,2,3,0,3,5,1,7,7,0,1,1,5,4.511620000000004,136.33559999999994,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,6.0,CC1=C(c2ccc(O)cc2)C(=O)c2ccc(O)cc21,0.50796624477714,12.401821145124716,-0.50796624477714,94.0,0.19403177899055984,0.19403177899055984,-0.043342781557067056,252.078644244,12.401821145124716,0.043342781557067056,240.17299999999994,252.26899999999998,0.0,2.18365874208626,709.2739466703247,13.568549621822843,10.344127365791161,10.344127365791161,9.075387400469408,5.960738817490395,5.960738817490395,4.6058848958081,4.6058848958081,3.409825822318725,3.409825822318725,2.4558275037401445,2.4558275037401445,-2.5499999999999994,28493.61240081221,11.535332804547558,3.985654387032409,1.708189313364329,110.00282120186975,10.213054789681411,11.49902366656781,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,12.13273413692322,53.95558005546193,11.136556021766264,0.0,15.007591973753234,16.929454006503473,0.0,0.0,0.0,6.923737199690624,0.0,59.15492395432226,0.0,11.49902366656781,0.0,0.0,11.49902366656781,0.0,15.996299736046351,0.0,0.0,28.40862885885343,42.46456947923127,0.0,11.146209060138535,0.0,57.53,0.0,15.007591973753234,0.0,17.28226861293275,11.136556021766264,16.70000751346326,6.06636706846161,36.39820241076966,6.923737199690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.33333333333332,0.0625,19,2,3,1,0,1,2,0,2,3,2,3,1,0,0,0,3,3.224800000000001,73.03210000000001,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,35.0,Oc1ccc2c(c1)S[C@H](c1ccco1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,0.5079197905718683,9.863329767622828,-0.5079197905718683,162.0,0.14309250987709463,0.14309250987709463,-0.1985251923568121,437.166079344,9.863329767622828,0.046138999659264046,410.3450000000002,437.5610000000004,0.0,1.294168610347816,983.2664100048331,21.045394827624126,17.405371051436717,18.221867632364443,15.259152830872495,10.909995073052523,11.789647884307417,8.043159220049423,9.226555673443812,5.867299483441876,7.173704547494106,4.215985067926309,5.4972202291379,-2.57,27044229.915994298,20.33923328397538,9.283989919689803,4.700645470642985,186.51700542499128,18.997404239494152,40.969569300969546,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,11.761884949391115,18.55355575984923,73.95917702860545,6.544756405912575,11.158646471156832,18.997404239494152,11.761884949391115,0.0,4.899909730850478,0.0,35.51185276202628,26.241151182250643,72.18416552236499,0.0,17.248535499851716,9.473725907600098,0.0,17.248535499851716,11.761884949391115,36.247588307941825,0.0,0.0,41.94006819707994,70.17310102436468,0.0,0.0,0.0,55.07000000000001,0.0,5.106527394840706,0.0,17.10341625101438,6.606881964512918,34.262962458569596,32.35197768060318,30.157782081953393,30.33183534230805,17.032643867773697,13.890876844653445,0.0,1.6501874076387755,0.0,0.0,0.0,0.0,0.0,0.0,5.71176715084089,56.13804544152034,0.36,31,1,5,0,2,2,2,1,3,6,1,6,6,0,1,1,5,5.817000000000006,121.00980000000006,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,1260.0,O=c1c2oc3c(Br)cc(O)cc3c2oc2cc(O)cc(O)c12,0.507894893813132,12.512772581254723,-0.507894893813132,110.0,0.2391568008903147,0.2391568008903147,-0.5589446334089188,361.942600044,12.512772581254723,0.02446570294784567,356.06300000000016,363.1190000000001,0.0,2.328321077452735,1138.093463955795,15.593493648205174,10.753751207659196,12.3397477467739,10.452397498181156,6.1898244326727125,6.982822702230066,4.833806054596569,5.688142953771091,3.3947753934158262,3.9838139369468824,2.4918547215524716,3.0209160079631205,-2.67,133822.00896813968,13.025048161067277,4.170890561176189,1.6249042134372096,129.48731376506163,24.15388405862881,28.217779855958753,11.166040283284485,11.011810533542782,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,28.06267803487257,12.13273413692322,9.85894373029721,24.15388405862881,49.03447289344791,0.0,0.0,0.0,0.0,0.0,38.961515365651216,0.0,17.248535499851716,5.428790391900541,0.0,17.248535499851716,15.929943897949348,15.319582184522117,0.0,0.0,0.0,42.36702684785737,0.0,33.10452899549856,0.0,104.04,11.178302225184446,20.11411936859394,0.0,33.63430830595934,15.441963871939453,6.06636706846161,18.19910120538483,0.0,0.0,15.929943897949348,8.834301874106695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.593167543251868,46.24502204585538,0.0,22,3,6,0,0,0,2,2,4,6,3,7,0,0,0,0,4,3.5717000000000003,82.45640000000002,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1727.0,Oc1ccc2c(-c3cccc4ccc(O)cc34)noc2c1,0.5079431357237163,9.724976930587049,-0.5079431357237163,102.0,0.1707008277010187,0.1707008277010187,0.13959645586629765,277.07389321200003,9.724976930587049,0.13959645586629765,266.191,277.279,0.0,2.063441983668513,972.2691367730685,14.396976746569035,10.946041499670372,10.946041499670372,10.220346690612278,6.5276034035983885,6.5276034035983885,4.922655295894428,4.922655295894428,3.5764392394757323,3.5764392394757323,2.587568587150789,2.587568587150789,-3.01,126581.81432788675,11.786722094347885,4.24484489770512,1.8049693243296088,119.40562744421611,14.736149726654759,17.19295166141627,5.583020141642242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.422131530971885,35.03791670277603,17.0160427746234,0.0,14.736149726654759,21.741692785036626,0.0,5.156663257125445,0.0,0.0,0.0,54.59730361615449,0.0,22.756403153113265,0.0,0.0,11.49902366656781,0.0,15.369718046806856,0.0,0.0,0.0,59.12039855312784,0.0,32.99907227158209,0.0,66.49000000000001,0.0,10.213054789681411,0.0,11.49902366656781,11.276948136490702,21.722124135091384,6.06636706846161,24.26546827384644,24.26546827384644,5.156663257125445,4.523094936973348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2909311224489795,44.542402210884354,0.0,21,2,4,0,0,0,3,1,4,4,2,4,1,0,0,0,4,4.0592000000000015,80.2806,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,114.0,Cc1cc(O)cc2cc(-c3ccc(O)cc3)oc12,0.507966213156629,9.552571176618796,-0.507966213156629,90.0,0.1374891460464854,0.1374891460464854,0.2256352880658441,240.078644244,9.552571176618796,0.2256352880658441,228.16199999999995,240.25799999999998,0.0,2.188697505696073,708.4319604623716,12.698306133819765,9.844127365791161,9.844127365791161,8.631030293135234,5.6588798985786175,5.6588798985786175,4.338543773760748,4.338543773760748,2.9385573462370473,2.9385573462370473,2.076820948973649,2.076820948973649,-2.42,19612.072945759526,10.716297452503817,3.805810067822002,1.6976539358533338,103.91790074016168,14.630205726734758,22.842291227084495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.95175817061889,10.949675706161791,0.0,14.630205726734758,10.969244356107037,0.0,0.0,0.0,6.923737199690624,0.0,48.02802097092827,0.0,22.822722577139245,0.0,0.0,11.49902366656781,0.0,10.213054789681411,0.0,6.923737199690624,5.563451491696996,46.88172041628462,0.0,22.292943266678478,0.0,53.6,0.0,10.213054789681411,0.0,11.49902366656781,0.0,27.856394758375473,0.0,36.39820241076966,12.990104268152233,0.0,4.417150937053347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.786988851095995,37.37967781557068,0.06666666666666667,18,2,3,0,0,0,2,1,3,3,2,3,1,0,0,0,3,3.819420000000001,69.71660000000003,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,527.0,C=Cc1cc(O)cc2ccc(-c3ccc(O)c(F)c3)cc12,0.5079207985742212,13.47790553181787,-0.5079207985742212,104.0,0.16491695573462542,0.16491695573462542,-0.6506970164609049,280.089957876,13.47790553181787,0.18132210148624317,267.19399999999996,280.298,0.0,2.22335999122492,853.2064079563519,14.982763184195939,11.175650867902325,11.175650867902325,10.07971869811898,6.46388753886767,6.46388753886767,4.84122701885647,4.84122701885647,3.4719963819590602,3.4719963819590602,2.4051120706599414,2.4051120706599414,-2.809999999999999,69404.66669738054,13.18596183949361,4.943600279822141,2.3378026172214215,120.96444596122343,10.213054789681411,5.749511833283905,11.5667326743298,0.0,0.0,0.0,0.0,4.39041504767482,0.0,0.0,30.854056995817206,57.79463824632863,0.0,0.0,14.603469837356231,16.848468535763473,0.0,0.0,0.0,0.0,0.0,66.49054456403427,0.0,22.6259266499618,0.0,4.39041504767482,11.49902366656781,0.0,10.213054789681411,0.0,5.817220841045895,5.563451491696996,55.10987223129138,0.0,27.975371519157463,0.0,40.46,5.817220841045895,14.603469837356231,0.0,11.49902366656781,5.563451491696996,21.899351412323583,12.13273413692322,24.27512131221871,18.19910120538483,6.578935683598497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.47790553181787,40.85542780151548,0.0,21,2,2,0,0,0,3,0,3,2,2,3,2,0,0,0,3,4.7001000000000035,82.76260000000002,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2.2,OCC1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1,0.5079666337506689,9.94308037820956,-0.5079666337506689,184.0,0.14000539424558023,0.14000539424558023,-0.2329108565501692,493.192294092,9.94308037820956,0.04304018353847083,462.3770000000003,493.6250000000003,0.0,1.2687892069499092,1113.1964877007326,24.200095366003378,19.546250490352016,20.362747071279742,17.084851333567983,12.10077350636792,12.980426317622817,9.184561553014778,10.367958006409161,6.781983697798213,8.128246480473459,4.672000476139409,5.996176361238802,-2.8699999999999988,123910971.82898618,23.85245272610539,10.810002604161788,5.690930895767885,209.67608577970304,24.793308092122217,35.70889568539684,0.0,0.0,0.0,0.0,4.899909730850478,0.0,0.0,11.761884949391115,24.26546827384644,85.44053456646384,13.151638370425493,10.14542150549995,24.793308092122217,11.761884949391115,0.0,4.899909730850478,5.917906046161393,29.09103113910027,32.84803314676356,77.85694073647171,0.0,22.99804733313562,9.473725907600098,0.0,22.99804733313562,11.761884949391115,53.06752506213615,0.0,5.917906046161393,35.32245064697649,71.62552122859549,0.0,0.0,0.0,82.39000000000001,0.0,15.319582184522117,0.0,22.852928084298288,19.13166997518723,59.99732258906931,0.0,42.093720291699164,36.39820241076966,4.899909730850478,9.473725907600098,0.0,1.6495888036138322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.35041119638618,0.35714285714285715,35,3,6,0,2,2,3,0,3,7,3,7,7,0,1,1,5,5.148000000000006,136.36739999999992,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
