name,HA,HD,mw,lp,tpsa,rb,ha
CHEMBL182655,8,1,530.456000,5.656800,81.920000,9,36
CHEMBL139427,10,7,374.438000,-1.704000,173.840000,14,26
CHEMBL3358452,6,2,487.448000,4.083600,60.500000,5,34
CHEMBL281147,10,8,515.618000,1.188400,156.930000,10,38
CHEMBL2011891,6,2,525.640000,6.124500,70.670000,9,38
CHEMBL204474,7,4,437.503000,4.475480,120.070000,8,33
CHEMBL2048819,8,0,461.595000,2.952020,71.560000,5,33
CHEMBL3593815,7,3,507.537000,4.720820,92.710000,7,37
CHEMBL1082723,4,3,390.245000,4.343700,56.920000,0,26
CHEMBL3319407,10,2,587.127000,4.251380,135.500000,5,39
CHEMBL1088038,6,1,442.494000,4.355700,69.300000,3,33
CHEMBL3218892,8,0,464.614000,3.827020,78.070000,7,34
CHEMBL3342358,8,3,418.910000,3.217300,108.900000,7,28
CHEMBL320289,16,7,897.178000,2.654100,221.370000,22,62
CHEMBL1079322,7,4,528.641000,5.662200,99.330000,13,36
CHEMBL321403,9,1,569.735000,5.236800,98.320000,11,41
CHEMBL181312,6,3,435.446000,2.728600,86.870000,7,31
CHEMBL2163441,18,13,735.847000,-1.052100,292.780000,19,53
CHEMBL2069411,7,2,459.424000,3.310500,93.570000,6,33
CHEMBL535353,6,3,529.866000,4.646200,90.010000,8,33
CHEMBL2164835,7,2,442.947000,2.216320,73.910000,5,31
CHEMBL249640,7,2,498.590000,5.448200,88.490000,8,38
CHEMBL244936,4,0,409.961000,5.145720,38.130000,4,29
CHEMBL2203623,9,4,538.689000,1.678900,120.000000,5,39
CHEMBL3358453,4,1,454.829000,6.013800,35.580000,5,29
CHEMBL203581,8,3,467.595000,3.140400,110.440000,7,33
CHEMBL2011827,8,2,498.583000,3.654000,90.980000,7,37
CHEMBL3319278,8,2,393.808000,2.846600,118.370000,3,26
CHEMBL415674,10,5,595.748000,3.151600,115.040000,12,44
CHEMBL3593632,9,2,580.685000,4.612600,102.020000,7,43
CHEMBL411055,6,2,437.584000,4.923700,70.670000,6,32
CHEMBL353007,8,2,607.176000,3.421800,98.820000,6,42
CHEMBL2048818,7,0,488.028000,4.281800,64.130000,9,34
CHEMBL2164505,5,2,515.268000,5.734100,61.440000,5,32
CHEMBL181584,8,2,524.360000,5.867820,102.690000,6,36
CHEMBL403066,7,3,483.616000,4.063100,95.060000,10,36
CHEMBL18872,9,8,502.619000,2.243440,158.890000,9,37
CHEMBL2426681,6,0,474.630000,4.368100,58.560000,5,34
CHEMBL184093,7,1,524.489000,5.726800,76.830000,9,35
CHEMBL308716,9,4,509.614000,3.625300,129.890000,7,38
CHEMBL3319401,10,2,575.116000,4.602900,126.290000,10,38
CHEMBL3319274,6,2,396.255000,4.573600,80.320000,3,25
CHEMBL222498,8,5,553.755000,6.133600,117.410000,14,41
CHEMBL113313,9,3,505.619000,1.714700,117.330000,9,37
CHEMBL291333,13,5,680.743000,1.667800,196.640000,13,46
CHEMBL509976,15,11,834.035000,3.025800,246.190000,21,61
CHEMBL3218909,8,0,479.625000,3.680300,74.410000,8,35
CHEMBL205286,7,5,487.454000,4.054200,123.990000,6,33
CHEMBL444432,14,10,623.727000,-1.703200,234.840000,21,44
CHEMBL362612,5,1,425.532000,6.415520,58.370000,7,32
CHEMBL3218649,6,0,509.075000,5.507220,60.250000,7,35
CHEMBL1079108,7,5,530.694000,5.977200,113.320000,8,38
CHEMBL2164824,6,2,469.800000,3.452100,64.680000,7,30
CHEMBL209394,8,4,498.612000,4.338900,129.780000,6,36
CHEMBL3645254,11,4,652.759000,5.826300,142.610000,12,49
CHEMBL3218887,7,0,466.589000,4.549700,79.740000,5,35
CHEMBL2011834,8,2,560.739000,5.447200,90.980000,8,41
CHEMBL108025,8,1,573.726000,5.734800,81.250000,9,42
CHEMBL2048812,7,0,446.551000,3.384300,59.830000,7,33
CHEMBL2113328,7,3,560.746000,5.554900,87.630000,11,42
CHEMBL400879,10,5,631.781000,5.814500,135.870000,11,47
CHEMBL205711,9,6,565.099000,4.226000,153.090000,10,39
CHEMBL322499,10,3,546.635000,4.142500,122.900000,7,41
CHEMBL368247,5,1,430.335000,6.199420,58.370000,4,29
CHEMBL3586022,9,2,540.649000,5.146700,103.190000,9,39
CHEMBL181619,8,1,558.462000,6.222400,93.900000,7,38
CHEMBL208930,7,4,431.540000,4.177800,107.360000,7,32
CHEMBL181350,7,1,481.637000,5.132000,71.110000,9,35
CHEMBL3319281,9,2,522.052000,2.932700,111.710000,6,34
CHEMBL2048817,6,1,446.595000,4.264800,61.460000,7,33
CHEMBL179812,5,1,486.321000,7.074120,58.370000,6,32
CHEMBL275660,9,5,516.646000,2.837800,122.120000,10,38
CHEMBL2163468,14,10,640.749000,1.765000,219.910000,13,47
CHEMBL178266,5,1,506.433000,6.980820,58.370000,5,35
CHEMBL3218901,10,0,511.586000,3.861420,104.100000,7,38
CHEMBL223269,7,4,547.490000,5.783500,101.620000,8,38
CHEMBL2426674,6,0,477.008000,4.472700,58.560000,6,34
CHEMBL383766,7,5,461.591000,4.003200,123.990000,6,33
CHEMBL203843,6,5,344.422000,3.354180,113.640000,5,26
CHEMBL3645261,8,2,601.751000,7.563200,94.060000,10,45
CHEMBL1082164,5,1,423.516000,4.823200,56.410000,3,32
CHEMBL208842,8,6,468.561000,4.907500,128.180000,8,35
CHEMBL3586028,10,2,504.543000,2.828800,103.410000,7,37
CHEMBL3218889,9,0,481.560000,2.935100,101.860000,5,36
CHEMBL415134,8,2,570.697000,5.834900,97.720000,12,43
CHEMBL2163458,18,13,770.896000,-0.479900,288.340000,18,56
CHEMBL428383,8,5,600.767000,5.151600,107.770000,13,45
CHEMBL183123,3,1,322.452000,4.276400,32.340000,5,24
CHEMBL240599,8,5,531.664000,4.936200,117.410000,10,40
CHEMBL540604,6,3,519.089000,4.905800,90.010000,12,37
CHEMBL3358451,5,2,494.867000,4.809400,47.610000,5,33
CHEMBL13817,9,3,528.675000,1.765300,122.040000,8,37
CHEMBL2113317,8,4,524.669000,4.442200,103.010000,13,39
CHEMBL206446,7,4,411.531000,2.910300,115.200000,6,29
CHEMBL2048815,6,0,423.557000,3.546100,54.900000,8,31
CHEMBL2011894,8,2,576.644000,4.956800,90.980000,8,42
CHEMBL434649,11,6,506.600000,0.084700,176.920000,17,36
CHEMBL1079302,7,5,432.590000,4.080500,113.320000,12,30
CHEMBL391922,7,4,520.681000,4.577000,84.550000,9,39
CHEMBL382375,6,5,451.983000,5.351800,99.080000,8,31
CHEMBL2011890,6,2,525.693000,6.636500,70.670000,9,39
CHEMBL361349,7,1,532.468000,6.750920,76.830000,9,36
CHEMBL178128,5,1,432.351000,6.050920,58.370000,7,29
CHEMBL393692,9,4,547.663000,4.607300,123.210000,11,41
CHEMBL374918,8,5,635.816000,6.995300,117.410000,12,48
CHEMBL2048807,6,0,464.606000,4.302200,51.240000,6,34
CHEMBL2164825,5,2,466.796000,4.690600,61.440000,4,30
CHEMBL1078115,7,5,404.536000,3.297100,113.320000,7,28
CHEMBL205995,7,5,481.666000,5.226600,123.990000,12,34
CHEMBL2011888,8,3,450.539000,2.766000,99.770000,6,33
CHEMBL3319282,8,2,474.951000,4.105800,110.160000,4,31
CHEMBL206672,7,4,473.602000,5.047400,110.000000,8,34
CHEMBL1087907,7,1,432.524000,2.991200,68.880000,3,32
CHEMBL3218910,8,0,484.604000,3.843620,78.070000,6,36
CHEMBL2164510,6,2,523.464000,4.431520,64.680000,6,36
CHEMBL3581047,9,2,660.778000,6.941300,114.790000,13,50
CHEMBL431245,8,1,511.655000,4.155800,81.250000,9,37
CHEMBL3593636,9,2,589.092000,5.428600,102.020000,8,42
CHEMBL2164829,6,2,502.229000,3.859500,64.680000,4,31
CHEMBL2011826,8,2,568.718000,5.295440,90.980000,8,42
CHEMBL3319404,10,2,573.100000,4.273620,126.290000,5,38
CHEMBL2163457,17,11,777.887000,0.837300,262.320000,17,57
CHEMBL417092,10,8,557.699000,2.357100,156.930000,10,41
CHEMBL403426,10,3,618.738000,6.271800,119.080000,11,46
CHEMBL205848,8,6,480.638000,3.603400,136.020000,9,34
CHEMBL3218646,4,0,492.088000,6.874220,38.130000,5,34
CHEMBL178138,6,1,446.334000,5.691120,75.440000,6,30
CHEMBL1081611,5,1,437.543000,5.130020,56.410000,3,33
CHEMBL379887,8,5,514.655000,3.881900,127.230000,7,37
CHEMBL398797,8,3,533.680000,4.636820,100.520000,9,40
CHEMBL375568,8,6,441.539000,3.495400,128.270000,7,33
CHEMBL1079623,6,1,448.523000,4.417200,69.300000,3,32
CHEMBL1078982,7,5,494.661000,5.753800,113.320000,10,35
CHEMBL376459,8,4,507.642000,4.125200,114.510000,10,38
CHEMBL206741,9,5,493.589000,3.941820,146.360000,9,35
CHEMBL415136,10,2,559.630000,4.860400,119.840000,10,42
CHEMBL440939,7,1,552.458000,7.260800,76.830000,9,38
CHEMBL108335,18,14,887.059000,1.336820,300.890000,23,65
CHEMBL109094,9,1,581.746000,4.186500,90.480000,11,42
CHEMBL375161,10,5,591.716000,5.034300,135.870000,11,44
CHEMBL2011833,8,2,568.718000,5.413700,90.980000,8,42
CHEMBL3645258,11,4,621.742000,3.624600,135.190000,12,46
CHEMBL2048824,7,0,487.007000,4.111800,66.630000,5,35
CHEMBL266964,8,3,565.681000,5.917500,104.280000,10,43
CHEMBL3586027,8,2,528.996000,4.913800,94.600000,7,38
