name,activity
CHEMBL182655,10
CHEMBL139427,10000
CHEMBL3358452,3.981
CHEMBL281147,337
CHEMBL2011891,20
CHEMBL204474,83
CHEMBL2048819,25
CHEMBL3593815,0.44
CHEMBL1082723,30000
CHEMBL3319407,0.4
CHEMBL1088038,31
CHEMBL3218892,370
CHEMBL3342358,30000
CHEMBL320289,0.2
CHEMBL1079322,682
CHEMBL321403,1300
CHEMBL181312,116
CHEMBL2163441,10000
CHEMBL2069411,200
CHEMBL535353,1400
CHEMBL2164835,525
CHEMBL249640,105
CHEMBL244936,52
CHEMBL2203623,500
CHEMBL3358453,38
CHEMBL203581,3250
CHEMBL2011827,314
CHEMBL3319278,10000
CHEMBL415674,35
CHEMBL3593632,0.39
CHEMBL411055,120
CHEMBL353007,190
CHEMBL2048818,59
CHEMBL2164505,47
CHEMBL181584,350
CHEMBL403066,1000
CHEMBL18872,62.9
CHEMBL2426681,30.2
CHEMBL184093,3
CHEMBL308716,2800
CHEMBL3319401,3.9
CHEMBL3319274,210
CHEMBL222498,240
CHEMBL113313,3000
CHEMBL291333,828.5
CHEMBL509976,0.35
CHEMBL3218909,500
CHEMBL205286,21
CHEMBL444432,2000
CHEMBL362612,1300
CHEMBL3218649,59
CHEMBL1079108,2
CHEMBL2164824,10000
CHEMBL209394,16
CHEMBL3645254,0.6
CHEMBL3218887,32
CHEMBL2011834,2.5
CHEMBL108025,100000
CHEMBL2048812,442
CHEMBL2113328,19
CHEMBL400879,140
CHEMBL205711,2
CHEMBL322499,50000
CHEMBL368247,10000
CHEMBL3586022,260
CHEMBL181619,7400
CHEMBL208930,1670
CHEMBL181350,16
CHEMBL3319281,83
CHEMBL2048817,120
CHEMBL179812,4100
CHEMBL275660,25.6
CHEMBL2163468,85600
CHEMBL178266,980
CHEMBL3218901,120
CHEMBL223269,520
CHEMBL2426674,15.85
CHEMBL383766,66
CHEMBL203843,160
CHEMBL3645261,16.5
CHEMBL1082164,6500
CHEMBL208842,10
CHEMBL3586028,47
CHEMBL3218889,4000
CHEMBL415134,177
CHEMBL2163458,10000
CHEMBL428383,175
CHEMBL183123,2700
CHEMBL240599,1000
CHEMBL540604,16
CHEMBL3358451,6.31
CHEMBL13817,0.4
CHEMBL2113317,190
CHEMBL206446,3.7
CHEMBL2048815,407
CHEMBL2011894,3
CHEMBL434649,10000
CHEMBL1079302,429
CHEMBL391922,468
CHEMBL382375,6.3
CHEMBL2011890,6
CHEMBL361349,9
CHEMBL178128,10000
CHEMBL393692,138
CHEMBL374918,640
CHEMBL2048807,211
CHEMBL2164825,2540
CHEMBL1078115,846
CHEMBL205995,5.2
CHEMBL2011888,10000
CHEMBL3319282,23
CHEMBL206672,700
CHEMBL1087907,338.7
CHEMBL3218910,190
CHEMBL2164510,10000
CHEMBL3581047,230
CHEMBL431245,35000
CHEMBL3593636,0.3
CHEMBL2164829,273
CHEMBL2011826,1
CHEMBL3319404,33
CHEMBL2163457,10000
CHEMBL417092,21.5
CHEMBL403426,45
CHEMBL205848,16
CHEMBL3218646,1.5
CHEMBL178138,1900
CHEMBL1081611,14.3
CHEMBL379887,41
CHEMBL398797,1000
CHEMBL375568,2200
CHEMBL1079623,33.7
CHEMBL1078982,28
CHEMBL376459,1000
CHEMBL206741,3.4
CHEMBL415136,300
CHEMBL440939,47
CHEMBL108335,15.9
CHEMBL109094,45000
CHEMBL375161,1000
CHEMBL2011833,16.5
CHEMBL3645258,3
CHEMBL2048824,321
CHEMBL266964,61
CHEMBL3586027,6.9
CHEMBL444131,159
CHEMBL239007,375
CHEMBL3319214,8.6
CHEMBL2164500,38
CHEMBL204776,180
CHEMBL365294,32
CHEMBL2113326,70
CHEMBL178838,6000
CHEMBL206638,11
CHEMBL383058,380
CHEMBL206588,4.2
CHEMBL205833,3170
CHEMBL252501,450
CHEMBL2163466,1170
CHEMBL3319396,0.62
CHEMBL1077617,13
CHEMBL378118,391
CHEMBL324845,100000
CHEMBL2048809,231
CHEMBL186540,150
CHEMBL390308,2
CHEMBL3593814,3
CHEMBL3586029,7.2
CHEMBL540093,3500
CHEMBL209443,8
CHEMBL3581046,65
CHEMBL205486,290
CHEMBL206820,1.5
CHEMBL301259,36.2
CHEMBL412362,41
CHEMBL398607,1000
CHEMBL3581031,1000
CHEMBL2163462,10000
CHEMBL399651,11.8
CHEMBL2170692,1000
CHEMBL2048811,1070
CHEMBL186974,29
CHEMBL1078608,128
CHEMBL221674,110
CHEMBL178329,100
CHEMBL3319223,0.77
CHEMBL378909,4
CHEMBL428698,53
CHEMBL2164498,10000
CHEMBL178137,550
CHEMBL1080155,46.5
CHEMBL1080939,13
CHEMBL374919,220
CHEMBL212761,7
CHEMBL378438,3080
CHEMBL1082189,244.6
CHEMBL250807,49
CHEMBL444277,130
CHEMBL221662,150
CHEMBL2164509,10000
CHEMBL3797857,43
CHEMBL3586031,42
CHEMBL2164502,239
CHEMBL205450,2.9
CHEMBL2164827,140
CHEMBL3218650,1.1
CHEMBL184368,139
