CMPD_CHEMBLID	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	STANDARD_TYPE	STANDARD_VALUE	STANDARD_UNITS
CHEMBL61663	522.59	-1.91	197.14	2	CCCCCCCC(=O)OC[C@H](NC(=O)CN)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	IC50	889	nM
CHEMBL2163441	735.83	-1.5	292.77	2	C[C@H](NC(=O)[C@H](C)NC(=O)N(Cc1ccc(O)cc1)NC(=O)C(N)Cc2cnc[nH]2)C(=O)N[C@H](Cc3ccccc3)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL301259	587.69	-1.29	179.74	1	CS(=O)(=O)N1CC2(CCN(CC2)C(=O)[C@@H](COCc3ccccc3)NC(=O)[C@H](CO)NC(=O)CN)c4ccccc14.OC(=O)C(F)(F)F	IC50	36.2	nM
CHEMBL2163437	719.83	-1.26	272.55	2	C[C@H](NC(=O)[C@H](C)NC(=O)N(Cc1ccccc1)NC(=O)C(N)Cc2cnc[nH]2)C(=O)N[C@H](Cc3ccccc3)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL2163455	719.83	-1.26	272.55	2	C[C@H](NC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)NN(Cc2ccccc2)C(=O)N[C@H](Cc3ccccc3)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL2163442	774.87	-1.2	308.56	2	C[C@H](NC(=O)N(Cc1ccc(O)cc1)NC(=O)[C@@H](N)Cc2cnc[nH]2)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@H](C)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL2163445	744.84	-1.2	297.12	2	C[C@@H](NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)NNC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](Cc4ccccc4)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL2163446	744.84	-1.2	297.12	2	C[C@H](NC(=O)NNC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)N[C@H](Cc4ccccc4)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL139427	374.43	-1.16	173.83	0	CCCCCCCC(=O)OC[C@H](NC(=O)[C@H](CO)NC(=O)CN)C(=O)N	IC50	10000	nM
CHEMBL444432	623.72	-1.13	234.83	2	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CNC(=O)CCCCCF)NC(=O)[C@H](CO)NC(=O)CN)C(=O)N	IC50	2000	nM
CHEMBL2163438	758.87	-0.96	288.33	2	C[C@H](NC(=O)N(Cc1ccccc1)NC(=O)[C@@H](N)Cc2cnc[nH]2)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@H](C)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL2163456	758.87	-0.96	288.33	2	C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)NN(Cc4ccccc4)C(=O)N[C@H](C)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL2163447	783.88	-0.9	312.91	2	C[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)NNC(=O)[C@@H](Cc3c[nH]c4ccccc34)NC(=O)[C@@H](N)Cc5cnc[nH]5)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL2163459	784.91	-0.9	279.54	2	C[C@H](NC(=O)N1CCCN1C(=O)[C@@H](N)Cc2cnc[nH]2)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@H](Cc5ccccc5)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
CHEMBL2163461	784.91	-0.9	279.55	2	C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)Cc3cnc[nH]3)C(=O)N4CCCN4C(=O)N[C@H](Cc5ccccc5)C(=O)N[C@@H](CCCCN)C(=O)N	IC50	10000	nM
