CMPD_CHEMBLID;CANONICAL_SMILES;STANDARD_VALUE
CHEMBL6;COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3;2.9
CHEMBL60738;CC(C)(C)c1cc(\C=C\2/CCN(O)S2(=O)=O)cc(c1O)C(C)(C)C;10
CHEMBL368682;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C)N(O)C(=O)C(C)C;40
CHEMBL12594;CON1CC\C(=C/c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\C1=O;40
CHEMBL33958;Clc1cc2CC(=O)Oc2cc1C3CCCCC3;50
CHEMBL292324;O=C(Nc1nccs1)C2C(=O)N3c4ccccc4Sc5cccc2c35;70
CHEMBL34264;Clc1cc2CC(=O)Oc2cc1c3ccccc3;80
CHEMBL60793;CON(C)C(=O)N1CC\C(=C/c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1(=O)=O;100
CHEMBL417073;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2nnc(N)s2;130
CHEMBL264200;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C)N(O)C(=O)C(F)(F)F;190
CHEMBL174501;COC(=O)N(O)C(C)C#Cc1cc(c2ccc(Cl)cc2)n(n1)c3ccc(OC)cc3;290
CHEMBL293689;CC(C)N1CC\C(=C/c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)\S1(=O)=O;320
CHEMBL367010;CCc1ccc(cc1)c2cc(nn2c3ccc(OC)cc3)C#CC(C)N(O)C(=O)C;340
CHEMBL16828;COc1c(cc(cc1C(C)(C)C)c2nnc(S)s2)C(C)(C)C;350
CHEMBL49008;CC(C)(C)c1cc(\C=C\2/SC(=O)NC2=O)cc(c1O)C(C)(C)C;350
CHEMBL276850;N1c2ccccc2Oc3ccccc13;350
CHEMBL109745;CC(C)(C)c1cc(\C=C\2/SC(=NC2=O)N)cc(c1O)C(C)(C)C.CS(=O)(=O)O;390
CHEMBL333579;Cc1noc(n1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;460
CHEMBL61952;Fc1ccc(NC(=O)C2C(=O)N3c4ccccc4Oc5cccc2c35)cc1;500
CHEMBL6;COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3;500
CHEMBL148922;COc1cc(\C=C\c2cc(C)sn2)cc(c1O)C(C)(C)C;900
CHEMBL304690;O=C(Nc1nc2ccccc2s1)C3C(=O)N4c5ccccc5CCc6cccc3c46;1000
CHEMBL304205;C1c2ccccc2Nc3ccccc13;1900
CHEMBL521;CC(C)Cc1ccc(cc1)C(C)C(=O)O;2000
CHEMBL296543;COc1ccc2c(c1)c(C(C)N(O)C(=O)C)c(C)n2C(=O)c3ccc(Cl)cc3;2400
CHEMBL62617;FC(F)(F)c1nnc(NC(=O)C2C(=O)N3c4ccccc4Sc5cccc2c35)s1;2400
CHEMBL174616;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C)N(O)C(=O)c4occc4;2900
CHEMBL3144587;Clc1ccc(CN2Nc3ccccc3C2=O)cn1;3000
CHEMBL17344;FC(F)(F)S(=O)(=O)Nc1cccc(OCc2ccc3ccccc3n2)c1;3300
CHEMBL329781;CC(C)(C)c1cc(Sc2nnc(S)s2)cc(c1O)C(C)(C)C;3600
CHEMBL366595;COc1ccc(cc1)n2nc(cc2c3ccc(C)cc3)C#CC(C(C)C)N(O)C(=O)N;4600
CHEMBL111438;C\C(=C/1\SC(=NC1=O)NC#N)\c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;5100
CHEMBL94851;CC(C)(C)c1cc(\C=C\c2nnc(S)s2)cc(c1O)C(C)(C)C;5200
CHEMBL84074;Oc1ccccc1OCc2ccc3ccccc3n2;5820
CHEMBL14433;CN1CN(C)c2nc3N(Cc4ccccc4)C(=C(CC=C(C)C)C(=O)n3c2C1=O)O;6000
CHEMBL274642;NC1=NN(CC1)c2cccc(c2)C(F)(F)F;6000
CHEMBL46871;COc1ccc2c(c1)c(CN(O)C(=O)C)c(C)n2C(=O)c3ccc(Cl)cc3;15000
CHEMBL91981;CCOC(=O)C(Sc1ccccc1)C(=O)c2ccccc2;15000
CHEMBL93310;CCO\C(=C(/Sc1ccccc1)\C=CC(=O)c2ccccc2)\O;22000
CHEMBL12154;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2n[nH]c(N)n2;30000
CHEMBL298776;Cn1c(S)nnc1c2ccccc2Nc3cccc(c3)C(F)(F)F;30000
CHEMBL3144576;Cc1ccncc1CN2Nc3ccccc3C2=O;30000
CHEMBL149448;CC(C)(C)c1cc(\C=C\c2onc(c2)C(F)(F)F)cc(c1O)C(C)(C)C;30000
CHEMBL273956;CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2nnc(S)n2N;32000
CHEMBL3144584;Brc1cncc(CN2Nc3ccccc3C2=O)c1;39000
CHEMBL3144581;C[C@H](N1Nc2ccccc2C1=O)c3cccc4ccccc34;48000
CHEMBL55844;ON(CCCCC(=O)O)C(=O)Cc1ccc(OCc2ccccc2)cc1;50000
CHEMBL93599;CCO\C(=C(/Sc1ccccc1)\C=CC(=O)C(=O)OCC)\O;50000
CHEMBL407916;CCO\C(=C\C=CC(=O)C(=O)OCC)\O;50000
CHEMBL3144580;O=C1N(Cc2ccccn2)Nc3ccccc13;67000
CHEMBL3144722;Cc1cncc(CN2Nc3ccccc3C2=O)c1;81000
CHEMBL8425;CC1=NN(CCOc2ccc3ccccc3c2)C(=O)C1;100000
CHEMBL3144715;O=C1N(Cc2cncs2)Nc3ccccc13;100000
CHEMBL75083;CCOC(=O)Cc1cccc(C(=O)c2ccc(Cl)cc2)c1NC(=O)C(F)(F)F;1000000
CHEMBL341001;CCOC(=O)c1nc(ns1)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C;
CHEMBL111563;CC(C)(C)c1cc(\C=C\2/SC(=NC2=O)NCCCC(=O)O)cc(c1O)C(C)(C)C;
CHEMBL64813;CC(C)(C)c1cc(\C=C\2/CCCNS2(=O)=O)cc(c1O)C(C)(C)C;6.2
