ID,MW,logP,HBD,HBA
CHEMBL6,357.793000,3.927320,1.000000,4.000000
CHEMBL60738,353.484000,3.752800,2.000000,4.000000
CHEMBL368682,417.509000,4.470120,1.000000,5.000000
CHEMBL12594,331.456000,4.164300,1.000000,3.000000
CHEMBL33958,250.725000,3.849200,0.000000,2.000000
CHEMBL292324,365.439000,4.008300,1.000000,5.000000
CHEMBL34264,244.677000,3.468500,0.000000,2.000000
CHEMBL60793,424.563000,3.976800,1.000000,5.000000
CHEMBL417073,305.447000,4.087900,2.000000,5.000000
CHEMBL264200,443.425000,4.376420,1.000000,5.000000
CHEMBL174501,425.872000,4.398900,1.000000,6.000000
CHEMBL293689,379.566000,4.772000,1.000000,3.000000
CHEMBL367010,403.482000,4.088000,1.000000,5.000000
CHEMBL16828,336.526000,5.097400,1.000000,5.000000
CHEMBL49008,333.453000,4.311100,2.000000,4.000000
CHEMBL276850,183.210000,3.535900,1.000000,2.000000
CHEMBL109745,428.576000,3.420200,3.000000,6.000000
CHEMBL333579,288.391000,4.345620,1.000000,4.000000
CHEMBL61952,360.344000,4.332000,1.000000,3.000000
CHEMBL6,357.793000,3.927320,1.000000,4.000000
CHEMBL148922,303.427000,4.633620,1.000000,4.000000
CHEMBL304690,411.486000,4.795500,1.000000,4.000000
CHEMBL304205,181.238000,3.334400,1.000000,1.000000
CHEMBL521,206.285000,3.073200,1.000000,1.000000
CHEMBL296543,400.862000,4.598920,1.000000,5.000000
CHEMBL62617,434.424000,4.422100,1.000000,6.000000
CHEMBL174616,441.487000,4.720920,1.000000,6.000000
CHEMBL3144587,259.696000,2.426300,1.000000,3.000000
CHEMBL17344,382.363000,4.075300,1.000000,4.000000
CHEMBL329781,354.566000,5.278600,2.000000,6.000000
CHEMBL366595,418.497000,4.002320,2.000000,5.000000
CHEMBL111438,371.506000,4.418280,2.000000,5.000000
CHEMBL94851,348.537000,5.297800,2.000000,5.000000
CHEMBL84074,251.285000,3.519400,1.000000,3.000000
CHEMBL14433,407.474000,2.237900,1.000000,7.000000
CHEMBL274642,229.205000,2.187700,1.000000,3.000000
CHEMBL46871,386.835000,4.037920,1.000000,5.000000
CHEMBL91981,300.379000,3.593300,0.000000,4.000000
CHEMBL93310,326.417000,4.981400,1.000000,4.000000
CHEMBL12154,288.395000,3.354500,3.000000,4.000000
CHEMBL298776,350.369000,4.533200,2.000000,5.000000
CHEMBL3144576,239.278000,2.081320,1.000000,3.000000
CHEMBL149448,367.411000,6.164400,1.000000,3.000000
CHEMBL273956,320.462000,3.248200,3.000000,6.000000
CHEMBL3144584,304.147000,2.535400,1.000000,3.000000
CHEMBL3144581,288.350000,4.092100,1.000000,2.000000
CHEMBL55844,357.406000,3.280800,2.000000,4.000000
CHEMBL93599,322.382000,3.230700,1.000000,6.000000
CHEMBL407916,214.217000,1.110700,1.000000,5.000000
CHEMBL3144580,225.251000,1.772900,1.000000,3.000000
CHEMBL3144722,239.278000,2.081320,1.000000,3.000000
CHEMBL8425,268.316000,2.826800,0.000000,3.000000
CHEMBL3144715,231.280000,1.834400,1.000000,4.000000
CHEMBL75083,413.779000,4.177400,1.000000,4.000000
CHEMBL64813,351.512000,4.041300,2.000000,3.000000
CHEMBL295739,349.521000,4.476000,2.000000,4.000000
CHEMBL62990,379.566000,4.773600,1.000000,3.000000
CHEMBL61422,349.371000,3.649400,1.000000,5.000000
CHEMBL154,230.263000,3.036500,1.000000,2.000000
CHEMBL173133,389.455000,3.835620,1.000000,5.000000
CHEMBL16434,374.510000,3.230900,3.000000,4.000000
CHEMBL509,296.153000,4.743620,2.000000,2.000000
CHEMBL876,318.135000,0.412920,1.000000,3.000000
CHEMBL34410,244.334000,4.065220,0.000000,2.000000
CHEMBL331523,290.403000,4.017700,1.000000,3.000000
CHEMBL6,357.793000,3.927320,1.000000,4.000000
CHEMBL433287,325.195000,4.336620,2.000000,3.000000
CHEMBL50833,297.383000,4.385740,2.000000,5.000000
CHEMBL64763,383.379000,3.726100,1.000000,4.000000
CHEMBL62874,353.484000,3.752800,2.000000,4.000000
CHEMBL54156,352.246000,5.384120,2.000000,5.000000
