ID,SA
CHEMBL6,2.900000
CHEMBL60738,10.000000
CHEMBL368682,40.000000
CHEMBL12594,40.000000
CHEMBL33958,50.000000
CHEMBL292324,70.000000
CHEMBL34264,80.000000
CHEMBL60793,100.000000
CHEMBL417073,130.000000
CHEMBL264200,190.000000
CHEMBL174501,290.000000
CHEMBL293689,320.000000
CHEMBL367010,340.000000
CHEMBL16828,350.000000
CHEMBL49008,350.000000
CHEMBL276850,350.000000
CHEMBL109745,390.000000
CHEMBL333579,460.000000
CHEMBL61952,500.000000
CHEMBL6,500.000000
CHEMBL148922,900.000000
CHEMBL304690,1000.000000
CHEMBL304205,1900.000000
CHEMBL521,2000.000000
CHEMBL296543,2400.000000
CHEMBL62617,2400.000000
CHEMBL174616,2900.000000
CHEMBL3144587,3000.000000
CHEMBL17344,3300.000000
CHEMBL329781,3600.000000
CHEMBL366595,4600.000000
CHEMBL111438,5100.000000
CHEMBL94851,5200.000000
CHEMBL84074,5820.000000
CHEMBL14433,6000.000000
CHEMBL274642,6000.000000
CHEMBL46871,15000.000000
CHEMBL91981,15000.000000
CHEMBL93310,22000.000000
CHEMBL12154,30000.000000
CHEMBL298776,30000.000000
CHEMBL3144576,30000.000000
CHEMBL149448,30000.000000
CHEMBL273956,32000.000000
CHEMBL3144584,39000.000000
CHEMBL3144581,48000.000000
CHEMBL55844,50000.000000
CHEMBL93599,50000.000000
CHEMBL407916,50000.000000
CHEMBL3144580,67000.000000
CHEMBL3144722,81000.000000
CHEMBL8425,100000.000000
CHEMBL3144715,100000.000000
CHEMBL75083,1000000.000000
CHEMBL64813,6.200000
CHEMBL295739,12.000000
CHEMBL62990,12.000000
CHEMBL61422,20.000000
CHEMBL154,60.000000
CHEMBL173133,60.000000
CHEMBL16434,83.000000
CHEMBL509,100.000000
CHEMBL876,100.000000
CHEMBL34410,100.000000
CHEMBL331523,150.000000
CHEMBL6,200.000000
CHEMBL433287,550.000000
CHEMBL50833,610.000000
CHEMBL64763,700.000000
CHEMBL62874,700.000000
CHEMBL54156,700.000000
CHEMBL122193,800.000000
CHEMBL277721,800.000000
CHEMBL65050,1100.000000
CHEMBL326108,1100.000000
CHEMBL366595,1200.000000
CHEMBL53532,1900.000000
CHEMBL436352,2000.000000
CHEMBL12219,2400.000000
CHEMBL1719803,2700.000000
CHEMBL304698,2800.000000
CHEMBL303365,3400.000000
CHEMBL13013,4200.000000
CHEMBL65431,5800.000000
CHEMBL284706,6100.000000
CHEMBL275909,6700.000000
CHEMBL273941,9400.000000
CHEMBL175372,11500.000000
CHEMBL313860,12000.000000
CHEMBL7660,13000.000000
CHEMBL7660,13000.000000
CHEMBL150804,14000.000000
CHEMBL293910,27000.000000
CHEMBL55133,30000.000000
CHEMBL150717,30000.000000
CHEMBL12572,32000.000000
CHEMBL293296,75000.000000
CHEMBL44149,200000.000000
CHEMBL47164,200000.000000
CHEMBL46571,200000.000000
CHEMBL75581,1000000.000000
CHEMBL60725,9.100000
CHEMBL175153,10.000000
CHEMBL62920,13.000000
CHEMBL33957,30.000000
CHEMBL12594,40.000000
CHEMBL1908355,53.000000
CHEMBL34579,80.000000
CHEMBL509,100.000000
CHEMBL6,100.000000
CHEMBL8562,150.000000
CHEMBL8562,150.000000
CHEMBL8562,150.000000
CHEMBL435907,160.000000
CHEMBL293617,200.000000
CHEMBL62772,200.000000
CHEMBL12532,410.000000
CHEMBL60136,700.000000
CHEMBL16659,800.000000
CHEMBL299794,850.000000
CHEMBL368148,930.000000
CHEMBL301990,1000.000000
CHEMBL12594,1000.000000
CHEMBL295829,1100.000000
CHEMBL150170,1200.000000
CHEMBL173939,1400.000000
CHEMBL417022,1750.000000
CHEMBL6,1800.000000
CHEMBL316040,2850.000000
CHEMBL35178,3000.000000
CHEMBL61065,3600.000000
CHEMBL542464,4400.000000
CHEMBL94851,5200.000000
CHEMBL12234,5500.000000
CHEMBL17344,9100.000000
CHEMBL286450,10000.000000
CHEMBL151433,10000.000000
CHEMBL176668,14500.000000
CHEMBL304663,15000.000000
