ID,activity
molekula_id0,2.5
molekula_id1,4
molekula_id2,5
molekula_id3,8
molekula_id4,11
molekula_id5,12
molekula_id6,13
molekula_id7,19.95
molekula_id8,22
molekula_id9,23.99
molekula_id10,25
molekula_id11,26
molekula_id12,28.6
molekula_id13,36
molekula_id14,38
molekula_id15,55
molekula_id16,70
molekula_id17,79.8
molekula_id18,138
molekula_id19,150
molekula_id20,163
molekula_id21,175
molekula_id22,202
molekula_id23,218.78
molekula_id24,310
molekula_id25,410
molekula_id26,629
molekula_id27,770
molekula_id28,870.96
molekula_id29,1070
molekula_id30,1100
molekula_id31,1800
molekula_id32,2300
molekula_id33,5370.32
molekula_id34,7244.36
molekula_id35,8300
molekula_id36,12000
molekula_id37,12300
molekula_id38,19000
molekula_id39,19000
molekula_id40,20000
molekula_id41,2
molekula_id42,5.3
molekula_id43,7.5
molekula_id44,8
molekula_id45,31
molekula_id46,35
molekula_id47,39
molekula_id48,40
molekula_id49,44.67
molekula_id50,52
molekula_id51,54
molekula_id52,62
molekula_id53,70.79
molekula_id54,103
molekula_id55,106
molekula_id56,132
molekula_id57,140
molekula_id58,148
molekula_id59,180
molekula_id60,189
molekula_id61,283
molekula_id62,290
molekula_id63,303
molekula_id64,345
molekula_id65,353
molekula_id66,378
molekula_id67,758.58
molekula_id68,1900
molekula_id69,2137.96
molekula_id70,2344.23
molekula_id71,2400
molekula_id72,2930
molekula_id73,4780
molekula_id74,6309.57
molekula_id75,6600
molekula_id76,7900
molekula_id77,10000
molekula_id78,19000
molekula_id79,20000
molekula_id80,63000
molekula_id81,64000
molekula_id82,93000
molekula_id83,100000
molekula_id84,4
molekula_id85,6
molekula_id86,9.6
molekula_id87,18
molekula_id88,20
molekula_id89,21
molekula_id90,21.5
molekula_id91,30
molekula_id92,32
molekula_id93,39
molekula_id94,57
molekula_id95,63
molekula_id96,64
molekula_id97,127
molekula_id98,190.55
molekula_id99,202
molekula_id100,220
molekula_id101,230
molekula_id102,354.81
molekula_id103,460
molekula_id104,766
molekula_id105,1122.02
molekula_id106,2040
molekula_id107,2398.83
molekula_id108,2691.53
molekula_id109,2951.21
molekula_id110,7960
molekula_id111,15135.61
molekula_id112,16000
molekula_id113,19000
molekula_id114,53000
molekula_id115,53703.18
molekula_id116,3
molekula_id117,3.3
molekula_id118,4
molekula_id119,5.3
molekula_id120,6.2
molekula_id121,9
molekula_id122,14
molekula_id123,14.13
molekula_id124,26
molekula_id125,31
molekula_id126,33
molekula_id127,42
molekula_id128,72
molekula_id129,75
molekula_id130,88
molekula_id131,100
molekula_id132,154.88
molekula_id133,170
molekula_id134,177.83
molekula_id135,180
molekula_id136,197
molekula_id137,216
molekula_id138,300
molekula_id139,509
molekula_id140,580
molekula_id141,630.96
molekula_id142,958
molekula_id143,1030
molekula_id144,1071.52
molekula_id145,1100
molekula_id146,2200
molekula_id147,2691.53
molekula_id148,2700
molekula_id149,5495.41
molekula_id150,7300
molekula_id151,15000
molekula_id152,19000
molekula_id153,92000
molekula_id154,140000
molekula_id155,230000
molekula_id156,1.7
molekula_id157,4
molekula_id158,4.1
molekula_id159,5
molekula_id160,10
molekula_id161,11
molekula_id162,12
molekula_id163,23
molekula_id164,41
molekula_id165,41
molekula_id166,45
molekula_id167,100
molekula_id168,200
molekula_id169,272
molekula_id170,284
molekula_id171,331.13
molekula_id172,350
molekula_id173,457.09
molekula_id174,620
molekula_id175,720
molekula_id176,760
molekula_id177,1880
molekula_id178,1949.84
molekula_id179,2630
molekula_id180,2900
molekula_id181,4466.84
molekula_id182,4500
molekula_id183,7943.28
molekula_id184,8128.31
molekula_id185,11000
molekula_id186,2
molekula_id187,2
molekula_id188,3.6
molekula_id189,7.5
molekula_id190,9
molekula_id191,33
molekula_id192,33
molekula_id193,39
molekula_id194,43
molekula_id195,78
molekula_id196,81
molekula_id197,86
molekula_id198,89
molekula_id199,134
