ID,activity
CHEMBL1082723,10000.000000
CHEMBL1091874,5800.000000
CHEMBL1172774,6.600000
CHEMBL1173391,347.000000
CHEMBL1190,820.000000
CHEMBL1221424,58.500000
CHEMBL1221429,3.000000
CHEMBL1222433,0.600000
CHEMBL1222434,0.500000
CHEMBL1222435,6.500000
CHEMBL1222436,1.200000
CHEMBL1222499,0.200000
CHEMBL1222500,9.200000
CHEMBL1222501,0.400000
CHEMBL1222502,3.600000
CHEMBL1222593,0.700000
CHEMBL1222594,5.900000
CHEMBL1222595,0.900000
CHEMBL1222596,12.000000
CHEMBL1222662,119.000000
CHEMBL1222663,98.000000
CHEMBL1222664,32.000000
CHEMBL1222728,900.000000
CHEMBL1222729,33.000000
CHEMBL1222730,102.000000
CHEMBL1222805,20000.000000
CHEMBL1222806,20000.000000
CHEMBL1222807,2742.000000
CHEMBL1222808,25.000000
CHEMBL1222809,31.000000
CHEMBL1222870,285.000000
CHEMBL1222871,738.000000
CHEMBL1222872,94.000000
CHEMBL1222873,47.000000
CHEMBL1222945,356.000000
CHEMBL1222946,2.200000
CHEMBL1222947,3.400000
CHEMBL1222948,1761.000000
CHEMBL1223008,241.000000
CHEMBL1223009,516.000000
CHEMBL1223010,184.000000
CHEMBL1223011,4894.000000
CHEMBL1223079,20000.000000
CHEMBL1223080,3612.000000
CHEMBL1223081,2431.000000
CHEMBL1223082,2470.000000
CHEMBL1223156,14215.000000
CHEMBL1223157,1.600000
CHEMBL1223158,0.400000
CHEMBL1223235,1.600000
CHEMBL1223236,4.600000
CHEMBL1223237,41.000000
CHEMBL1223238,64.000000
CHEMBL1223308,475.000000
CHEMBL1223309,1891.000000
CHEMBL1223310,58.000000
CHEMBL1223311,17.000000
CHEMBL1223377,28.000000
CHEMBL1223378,42.000000
CHEMBL1223379,14.000000
CHEMBL1223380,28.000000
CHEMBL1223447,51.000000
CHEMBL1223448,34.000000
CHEMBL1223449,115.000000
CHEMBL1223450,19.000000
CHEMBL1223513,0.300000
CHEMBL1223514,21.000000
CHEMBL1223515,6.800000
CHEMBL1223516,551.000000
CHEMBL1269843,11.000000
CHEMBL1269844,9.000000
CHEMBL1269950,41.000000
CHEMBL1269951,5508.000000
CHEMBL1269952,20.000000
CHEMBL1270058,17.000000
CHEMBL1270059,2.000000
CHEMBL1270060,84.000000
CHEMBL1270165,2.000000
CHEMBL1270166,5.000000
CHEMBL1270167,14.000000
CHEMBL1270264,12.000000
CHEMBL1270265,709.000000
CHEMBL129306,0.720000
CHEMBL129542,0.530000
CHEMBL1783890,0.631000
CHEMBL1929406,52.400000
CHEMBL1929407,182.000000
CHEMBL1929412,129.700000
CHEMBL1934523,0.700000
CHEMBL2021967,2570.000000
CHEMBL2021968,1740.000000
CHEMBL2021969,91100.000000
CHEMBL2021970,19600.000000
CHEMBL2021971,18000.000000
CHEMBL2021972,29900.000000
CHEMBL2021973,17500.000000
CHEMBL2021974,22600.000000
CHEMBL2021975,18500.000000
CHEMBL2021976,4850.000000
CHEMBL2021977,10000000.000000
CHEMBL2021978,13200.000000
CHEMBL2021979,10000.000000
CHEMBL2021980,100000000.000000
CHEMBL2021981,11800.000000
CHEMBL2021982,400.000000
CHEMBL2021983,320.000000
CHEMBL2021984,80.000000
CHEMBL2021985,500.000000
CHEMBL2021986,500.000000
CHEMBL2021987,10400.000000
CHEMBL2021988,20900.000000
CHEMBL2021989,29800.000000
CHEMBL2021990,320.000000
CHEMBL2021991,400.000000
CHEMBL2021992,500.000000
CHEMBL2024308,7060.000000
CHEMBL2024309,10000.000000
CHEMBL2024310,10000000.000000
CHEMBL2024311,250.000000
CHEMBL2024378,130.000000
CHEMBL2024379,10000000.000000
CHEMBL2024380,400.000000
CHEMBL2024381,700.000000
CHEMBL2024382,390.000000
CHEMBL2024383,10000000.000000
CHEMBL2024384,100000000.000000
CHEMBL2024385,88600.000000
CHEMBL2024386,10000000.000000
CHEMBL2024387,10000000.000000
