ID,activity
CHEMBL2387288,0.100000
CHEMBL565007,0.400000
CHEMBL2387284,0.400000
CHEMBL558248,0.600000
CHEMBL2387293,0.600000
CHEMBL1222593,0.700000
CHEMBL478395,0.720000
CHEMBL455681,0.740000
CHEMBL3427242,0.780000
CHEMBL517937,1.200000
CHEMBL477363,1.300000
CHEMBL484189,1.500000
CHEMBL515150,1.500000
CHEMBL458359,1.500000
CHEMBL3127679,1.700000
CHEMBL476106,1.800000
CHEMBL521327,1.800000
CHEMBL2441945,2.000000
CHEMBL3427241,2.100000
CHEMBL1222946,2.200000
CHEMBL3427227,2.500000
CHEMBL564514,3.000000
CHEMBL1221429,3.000000
CHEMBL3127692,3.200000
CHEMBL483366,3.200000
CHEMBL3427239,3.300000
CHEMBL1222947,3.400000
CHEMBL1222502,3.600000
CHEMBL3677897,3.690000
CHEMBL3677902,3.810000
CHEMBL3127688,4.000000
CHEMBL1223236,4.600000
CHEMBL3427229,5.500000
CHEMBL1223515,6.800000
CHEMBL3127708,10.000000
CHEMBL521022,10.000000
CHEMBL3127702,12.000000
CHEMBL3127693,13.000000
CHEMBL3127704,17.000000
CHEMBL3127699,19.000000
CHEMBL1269952,20.000000
CHEMBL476962,21.000000
CHEMBL1223377,28.000000
CHEMBL1222809,31.000000
CHEMBL3127683,32.000000
CHEMBL1222664,32.000000
CHEMBL1223448,34.000000
CHEMBL3677877,44.700000
CHEMBL3677881,45.300000
CHEMBL483189,49.000000
CHEMBL1223310,58.000000
CHEMBL3127672,87.000000
CHEMBL523992,98.000000
CHEMBL491614,110.000000
CHEMBL2387300,111.400000
CHEMBL1222662,119.000000
CHEMBL1929412,129.700000
CHEMBL1929407,182.000000
CHEMBL3677888,351.000000
CHEMBL1222945,356.000000
CHEMBL2021985,500.000000
CHEMBL1223009,516.000000
CHEMBL560230,560.000000
CHEMBL490993,560.000000
CHEMBL501876,680.000000
CHEMBL559843,710.000000
CHEMBL3677899,1050.000000
CHEMBL2419570,2840.000000
CHEMBL399203,3200.000000
CHEMBL3677897,3534.000000
CHEMBL3677875,4160.000000
CHEMBL550141,4540.000000
CHEMBL2419588,4610.000000
CHEMBL2441937,6309.570000
CHEMBL3677891,6420.000000
CHEMBL2419577,10000.000000
CHEMBL2419576,10000.000000
CHEMBL2021979,10000.000000
CHEMBL2419568,10000.000000
CHEMBL2021974,22600.000000
CHEMBL2024393,82000.000000
CHEMBL2024392,93600.000000
