ID,MW,logP,Hdonor,Hakceptor
CHEMBL2387288,384.549000,4.132800,2.000000,4.000000
CHEMBL565007,431.554000,3.855800,0.000000,6.000000
CHEMBL2387284,433.600000,4.103700,1.000000,4.000000
CHEMBL558248,401.528000,3.847200,0.000000,5.000000
CHEMBL2387293,470.617000,6.494320,2.000000,4.000000
CHEMBL1222593,482.636000,3.615800,0.000000,8.000000
CHEMBL478395,391.515000,4.194920,0.000000,5.000000
CHEMBL455681,403.526000,4.386300,0.000000,5.000000
CHEMBL3427242,347.466000,3.484300,1.000000,4.000000
CHEMBL517937,407.489000,4.228920,0.000000,5.000000
CHEMBL477363,397.906000,4.212220,0.000000,5.000000
CHEMBL484189,419.525000,4.098420,0.000000,6.000000
CHEMBL515150,381.451000,3.697920,0.000000,5.000000
CHEMBL458359,423.944000,4.743220,0.000000,5.000000
CHEMBL3127679,363.546000,2.210200,0.000000,4.000000
CHEMBL476106,381.451000,3.697920,0.000000,5.000000
CHEMBL521327,390.487000,3.484820,0.000000,6.000000
CHEMBL2441945,395.016000,4.436350,2.000000,4.000000
CHEMBL3427241,462.634000,5.520800,2.000000,3.000000
CHEMBL1222946,420.536000,3.508500,0.000000,6.000000
CHEMBL3427227,337.463000,4.397600,1.000000,2.000000
CHEMBL564514,431.601000,6.518400,0.000000,4.000000
CHEMBL1221429,459.598000,2.730600,1.000000,7.000000
CHEMBL3127692,426.627000,2.192700,0.000000,4.000000
CHEMBL483366,403.526000,4.479920,0.000000,5.000000
CHEMBL3427239,391.555000,5.365200,0.000000,3.000000
CHEMBL1222947,434.563000,3.897000,0.000000,6.000000
CHEMBL1222502,486.649000,3.889500,0.000000,9.000000
CHEMBL3677897,272.392000,2.342700,0.000000,2.000000
CHEMBL3677902,327.428000,1.585700,1.000000,3.000000
CHEMBL3127688,424.589000,3.294900,0.000000,3.000000
CHEMBL1223236,483.624000,3.010800,0.000000,9.000000
CHEMBL3427229,353.462000,3.981600,1.000000,3.000000
CHEMBL1223515,509.680000,2.621300,0.000000,8.000000
CHEMBL3127708,387.612000,3.898100,0.000000,3.000000
CHEMBL521022,403.526000,4.479920,0.000000,5.000000
CHEMBL3127702,389.584000,2.744400,0.000000,4.000000
CHEMBL3127693,410.562000,2.904800,0.000000,3.000000
CHEMBL3127704,375.557000,2.354300,0.000000,4.000000
CHEMBL3127699,347.503000,1.574100,0.000000,4.000000
CHEMBL1269952,295.426000,3.944200,1.000000,2.000000
CHEMBL476962,371.481000,2.685800,0.000000,4.000000
CHEMBL1223377,444.627000,4.494400,0.000000,6.000000
CHEMBL1222809,420.536000,3.510100,0.000000,6.000000
CHEMBL3127683,378.561000,2.099300,0.000000,4.000000
CHEMBL1222664,441.583000,3.852300,1.000000,6.000000
CHEMBL1223448,436.991000,4.024400,0.000000,6.000000
CHEMBL3677877,270.376000,2.096700,0.000000,2.000000
CHEMBL3677881,286.419000,2.732800,0.000000,2.000000
CHEMBL483189,363.461000,3.557220,0.000000,5.000000
CHEMBL1223310,468.552000,3.972400,0.000000,7.000000
CHEMBL3127672,349.519000,1.820100,0.000000,4.000000
CHEMBL523992,405.586000,4.606200,0.000000,2.000000
CHEMBL491614,379.548000,4.556900,0.000000,2.000000
CHEMBL2387300,363.408000,4.329400,2.000000,3.000000
CHEMBL1222662,441.583000,3.852300,1.000000,6.000000
CHEMBL1929412,347.466000,3.810000,2.000000,5.000000
CHEMBL1929407,365.481000,3.544700,2.000000,6.000000
CHEMBL3677888,353.510000,3.087000,0.000000,3.000000
CHEMBL1222945,434.563000,3.900200,0.000000,6.000000
CHEMBL2021985,446.573000,3.127700,2.000000,6.000000
CHEMBL1223009,432.547000,3.651000,0.000000,6.000000
CHEMBL560230,486.332000,4.310000,1.000000,4.000000
CHEMBL490993,385.512000,2.171700,2.000000,4.000000
CHEMBL501876,301.434000,2.582400,0.000000,2.000000
CHEMBL559843,516.299000,5.108700,1.000000,4.000000
CHEMBL3677899,327.428000,1.585700,1.000000,3.000000
CHEMBL2419570,347.462000,4.335000,2.000000,2.000000
CHEMBL399203,426.410000,3.675000,3.000000,8.000000
CHEMBL3677897,272.392000,2.342700,0.000000,2.000000
CHEMBL3677875,326.484000,3.657100,0.000000,2.000000
CHEMBL550141,394.313000,2.700500,1.000000,4.000000
CHEMBL2419588,336.435000,4.157800,1.000000,3.000000
CHEMBL2441937,363.358000,2.814670,3.000000,4.000000
CHEMBL3677891,284.403000,2.486800,0.000000,2.000000
CHEMBL2419577,349.478000,4.581000,2.000000,2.000000
CHEMBL2419576,363.461000,3.571400,2.000000,3.000000
CHEMBL2021979,499.555000,4.860700,2.000000,5.000000
CHEMBL2419568,350.462000,4.547900,1.000000,3.000000
CHEMBL2021974,485.528000,4.470600,2.000000,5.000000
CHEMBL2024393,471.501000,4.080500,2.000000,5.000000
CHEMBL2024392,472.394000,4.368500,2.000000,5.000000
CHEMBL1929403,347.466000,3.810000,2.000000,5.000000
CHEMBL78946,893.005000,-1.736100,12.000000,12.000000
CHEMBL1929415,361.449000,2.606400,2.000000,5.000000
CHEMBL1929404,390.491000,3.248500,3.000000,6.000000
CHEMBL2403550,395.522000,4.757840,1.000000,3.000000
CHEMBL2387315,384.568000,4.512220,2.000000,3.000000
CHEMBL2387289,398.576000,4.441220,2.000000,4.000000
CHEMBL2387317,371.529000,2.528900,1.000000,4.000000
CHEMBL562722,431.554000,3.855800,0.000000,6.000000
CHEMBL2391151,418.368000,5.308700,1.000000,3.000000
CHEMBL1222434,500.695000,3.122800,0.000000,8.000000
CHEMBL513893,400.519000,3.195400,0.000000,5.000000
CHEMBL453653,419.525000,4.004800,0.000000,6.000000
CHEMBL488248,363.461000,3.465200,0.000000,5.000000
CHEMBL479036,391.515000,4.373800,0.000000,5.000000
CHEMBL3677895,309.413000,2.358480,0.000000,3.000000
CHEMBL556100,399.512000,4.106100,0.000000,5.000000
CHEMBL3427235,478.677000,5.407000,1.000000,4.000000
CHEMBL477364,431.458000,4.577620,0.000000,5.000000
CHEMBL520629,419.525000,4.098420,0.000000,6.000000
CHEMBL478615,377.488000,3.867240,0.000000,5.000000
CHEMBL487060,439.559000,5.307500,0.000000,5.000000
CHEMBL1270165,297.442000,3.863600,1.000000,2.000000
CHEMBL477356,381.451000,3.697920,0.000000,5.000000
CHEMBL3127691,460.644000,2.843400,0.000000,4.000000
CHEMBL487063,377.488000,3.948920,0.000000,5.000000
CHEMBL3127700,361.530000,1.964200,0.000000,4.000000
CHEMBL477361,377.488000,3.947320,0.000000,5.000000
CHEMBL3127681,404.599000,2.633500,0.000000,4.000000
CHEMBL3124968,349.519000,1.820100,0.000000,4.000000
CHEMBL1270264,294.398000,2.677500,1.000000,3.000000
CHEMBL519839,377.488000,3.945720,0.000000,5.000000
CHEMBL3427237,476.661000,5.609200,1.000000,4.000000
CHEMBL260374,292.452000,2.796300,2.000000,2.000000
CHEMBL1270058,297.442000,3.863600,1.000000,2.000000
CHEMBL2441933,348.343000,4.005270,2.000000,3.000000
CHEMBL1223514,485.636000,3.497800,0.000000,7.000000
CHEMBL1222808,406.509000,3.120000,0.000000,6.000000
CHEMBL446516,405.542000,4.440920,0.000000,5.000000
CHEMBL3677889,350.466000,2.876900,1.000000,3.000000
CHEMBL3677890,309.413000,2.358480,0.000000,3.000000
CHEMBL1222873,420.536000,3.510100,0.000000,6.000000
CHEMBL1223447,486.542000,4.269600,0.000000,7.000000
CHEMBL1223238,436.991000,4.024400,0.000000,6.000000
CHEMBL2419579,333.479000,4.808400,2.000000,2.000000
CHEMBL569374,408.296000,2.884200,1.000000,5.000000
CHEMBL3677874,312.457000,3.267000,0.000000,2.000000
CHEMBL3677903,276.384000,1.076200,0.000000,4.000000
CHEMBL2024378,298.408000,1.588800,1.000000,4.000000
CHEMBL3127682,378.561000,2.099300,0.000000,4.000000
CHEMBL3127705,384.524000,2.011300,0.000000,5.000000
CHEMBL1223008,418.520000,3.260900,0.000000,6.000000
