name,HA,HD,mw,lp,tpsa,rb,ha
DB07100,6,4,294.742000,1.550900,84.410000,2,20
DB00127,4,6,202.346000,-0.356600,76.100000,11,14
DB00258,4,0,158.166000,-2.868400,80.260000,0,9
DB00556,0,0,188.017000,2.746300,0.000000,0,11
DB03054,0,0,252.731000,2.454700,0.000000,0,4
DB06783,18,0,859.239000,0.284540,428.220000,0,43
DB09278,0,0,12.011000,0.081290,0.000000,0,1
DB00638,191,116,6179.373000,-83.666800,3038.930000,149,419
DB00431,0,0,290.832000,3.644400,0.000000,0,12
DB01968,1,2,75.136000,0.346100,26.020000,0,4
DB02548,9,7,262.151000,-3.468400,167.910000,7,16
DB09067,122,77,4670.384000,-19.193660,1989.130000,159,328
DB13145,5,4,301.159000,-1.708900,87.570000,0,8
DB09161,12,0,776.960000,7.981640,81.540000,12,49
DB03399,1,0,56.088000,0.969000,4.360000,0,4
DB00657,1,1,167.296000,2.420600,12.030000,1,12
DB04677,1,0,189.302000,2.735400,3.240000,5,14
DB09116,2,0,80.103000,-0.081700,44.600000,0,4
DB00364,51,16,1472.878000,-25.821300,772.170000,36,78
DB03770,4,5,75.071000,-1.141330,82.130000,0,5
DB03843,1,0,30.026000,-0.184900,17.070000,0,2
DB01794,22,10,990.799000,-5.515900,354.960000,6,50
DB03733,0,0,98.960000,1.464000,0.000000,1,4
DB00927,9,8,337.456000,-0.768000,175.830000,7,20
DB03840,10,2,365.844000,-0.334500,111.740000,4,23
DB06799,4,0,140.190000,-1.019800,12.960000,0,10
DB01921,6,5,162.145000,-2.540000,105.310000,0,11
DB07551,6,2,254.725000,2.060980,86.520000,5,17
DB00602,28,6,1736.185000,10.812700,340.120000,15,123
DB07111,3,2,344.495000,5.519700,57.530000,14,25
DB04361,2,1,44.057000,0.647170,36.210000,0,3
DB04792,8,6,382.420000,1.247340,136.660000,6,28
DB00763,2,1,114.173000,1.082690,20.720000,0,7
DB02250,8,0,623.840000,1.429200,19.440000,4,38
DB04687,3,1,142.116000,0.496000,38.690000,2,7
DB02832,20,8,914.655000,1.807800,314.740000,20,63
DB03266,2,0,100.117000,0.554500,34.140000,4,7
DB01827,3,2,223.125000,1.350500,52.320000,2,15
DB07821,2,0,164.185000,2.542100,26.300000,2,10
DB04178,9,1,791.169000,12.804200,108.360000,42,54
DB00727,12,0,227.085000,-1.020100,157.110000,8,15
DB01999,16,10,939.040000,12.497600,311.440000,8,64
DB02679,2,2,42.041000,-0.573820,49.810000,0,3
DB02846,3,2,133.172000,-0.266500,49.330000,1,8
DB02335,2,2,102.162000,0.047900,38.380000,0,6
DB04369,3,1,87.871000,-0.989600,38.690000,0,6
DB01803,1,0,120.241000,0.622400,0.000000,2,7
DB02486,2,2,154.256000,0.352400,40.460000,5,8
DB04085,7,0,236.183000,-1.232000,83.990000,4,17
DB08628,2,1,196.271000,2.592700,37.300000,2,13
DB04278,9,7,400.549000,-0.524630,149.200000,10,27
DB06335,5,3,315.417000,1.157980,90.350000,2,23
DB09049,12,2,651.794000,1.863500,126.770000,24,46
DB04462,3,1,434.711000,4.007900,41.570000,0,13
DB09117,3,0,132.159000,1.087800,27.690000,0,9
DB00441,7,4,263.200000,-1.288600,110.600000,2,18
DB00711,4,0,199.298000,0.695600,26.790000,2,14
DB01563,2,2,165.403000,0.667300,40.460000,0,7
DB02048,5,4,112.116000,-2.800000,82.320000,0,8
DB03724,3,3,158.226000,0.523700,59.140000,2,10
DB04320,1,1,136.976000,0.887300,20.230000,1,5
DB08993,23,19,685.700000,-3.564860,412.290000,10,48
DB01849,4,2,114.104000,-0.784100,58.200000,0,8
DB03153,5,1,136.114000,0.779500,70.730000,0,10
DB07142,5,4,386.499000,4.397060,87.050000,3,29
DB02311,1,0,124.230000,0.685400,17.070000,2,6
DB03460,4,2,600.884000,8.969800,65.520000,10,44
DB07360,7,3,464.498000,5.465200,91.830000,6,31
DB03445,9,2,301.304000,-1.328700,131.250000,8,20
DB05528,189,60,7177.248000,-1.199210,2479.030000,156,457
DB00091,23,5,1202.635000,3.269000,278.800000,15,85
DB03053,4,3,136.067000,-1.019100,86.380000,1,8
DB00336,8,3,198.138000,0.190000,123.760000,3,14
DB03842,1,2,121.183000,1.386000,26.020000,0,9
DB01663,8,1,873.124000,10.512300,48.540000,10,59
DB09270,4,0,863.365000,17.853900,52.600000,31,63
DB02894,11,2,361.350000,-1.886700,149.680000,3,22
DB00560,13,8,585.658000,0.513200,205.760000,6,42
DB03814,5,1,195.240000,-2.553300,70.870000,3,12
DB03816,3,3,185.195000,0.744200,63.320000,5,11
DB00995,9,0,678.491000,2.792500,114.430000,10,32
DB06705,17,0,957.868000,-14.547000,268.960000,23,55
DB01633,15,9,505.421000,-7.227800,251.280000,7,34
DB03302,2,0,271.914000,3.970600,26.300000,0,14
DB09513,3,4,62.048242,-0.976200,69.110000,0,4
DB08427,6,3,226.184000,-0.411900,111.900000,4,16
DB03758,6,0,370.829000,1.990500,90.040000,0,25
DB07001,3,2,210.302000,2.224170,45.110000,2,14
DB09333,4,1,597.960000,3.739000,52.900000,5,19
DB00464,4,0,316.439000,0.878500,66.430000,11,20
DB06901,2,1,168.236000,1.538600,37.300000,4,12
DB00922,7,2,280.291000,1.361760,113.430000,3,21
DB04504,2,2,98.149000,0.178300,38.380000,0,7
DB00274,12,2,471.546000,-0.728320,163.330000,9,30
DB00975,12,4,504.636000,-0.017600,145.440000,12,36
DB01135,18,0,1106.144000,1.717800,163.360000,27,76
DB00325,7,0,215.941000,0.298500,148.380000,1,13
DB01828,1,2,31.058000,-0.425100,26.020000,0,2
DB02108,2,3,58.084000,-0.405330,49.870000,1,4
DB05025,6,1,313.785000,1.083800,72.000000,6,21
DB05630,26,23,907.876000,-25.710300,552.580000,8,43
DB09157,2,0,44.009000,-0.583500,34.140000,0,3
DB05817,8,1,307.781000,-0.997200,103.860000,5,17
DB05381,3,3,184.070000,0.754500,54.700000,2,10
DB02975,25,8,1290.553000,5.933720,350.180000,11,87
DB01703,3,0,303.098000,1.823200,37.380000,3,20
DB05885,4,2,232.230000,0.879200,63.400000,4,16
DB01710,4,0,364.189000,0.843700,15.880000,0,25
DB08966,7,3,398.554000,2.330290,102.300000,10,26
DB04409,9,0,365.342000,-0.447900,171.600000,3,22
DB02617,3,1,341.282000,5.048100,38.050000,8,22
DB07894,4,3,278.241000,2.704900,77.760000,5,17
DB09138,8,4,305.906216,-4.880600,189.380000,2,12
DB07092,8,2,448.518000,1.902400,96.830000,5,32
DB04741,6,2,487.691000,5.818400,87.330000,12,33
DB01028,1,0,164.966000,2.029300,9.230000,2,8
DB02245,5,3,150.141000,-0.389500,84.130000,0,11
DB02757,2,1,68.079000,0.409700,28.680000,0,5
DB07949,7,1,335.319000,1.906100,100.680000,3,25
DB00226,5,4,213.281000,0.335600,82.860000,2,15
DB01942,2,1,46.025000,-0.299200,37.300000,0,3
DB03961,9,4,278.090000,-0.637500,142.750000,1,16
DB06706,1,1,141.258000,2.340700,12.030000,4,10
DB01322,3,0,232.279000,2.664800,35.530000,3,17
DB07073,4,0,266.366000,2.134800,42.430000,1,18
DB01987,11,4,424.312000,0.209740,171.800000,8,26
DB02871,1,0,160.282000,1.945200,17.070000,3,10
DB06742,3,4,378.108000,3.186900,58.280000,3,18
DB01971,4,2,138.126000,0.507500,65.980000,2,10
DB05229,5,2,420.481000,-1.044800,89.820000,8,30
DB01090,2,0,240.435000,2.637500,0.000000,6,17
DB00534,4,3,367.198000,0.324300,64.350000,5,11
DB03344,21,11,580.051000,-3.249600,354.030000,10,32
DB00483,6,0,891.540000,-3.535500,27.690000,21,39
DB04834,6,0,597.905000,6.912200,55.840000,7,43
DB09028,3,1,190.246000,0.555000,34.030000,0,14
DB03918,8,7,241.251000,-1.457530,137.280000,2,17
DB00153,1,1,396.659000,7.641000,20.230000,5,29
DB08088,5,1,359.735000,2.903900,68.850000,1,24
DB00189,1,1,144.601000,1.513200,20.230000,2,9
DB02158,7,7,297.384000,-0.667300,118.690000,3,20
DB02885,3,1,175.113000,1.565070,48.570000,0,12
DB02994,2,1,137.998000,0.111000,37.300000,0,5
DB03347,4,0,182.156000,2.204000,44.760000,6,11
DB06267,10,2,516.668000,2.827500,122.210000,11,36
DB06782,1,1,124.230000,0.206900,20.230000,2,6
DB07106,3,3,175.301000,0.954870,53.110000,5,11
DB00444,13,3,656.662000,2.752900,160.830000,6,46
DB08906,6,1,538.584000,4.926800,93.810000,4,37
DB06703,13,3,604.715000,-7.828200,194.040000,10,32
DB04411,5,5,293.150000,0.583000,95.580000,5,18
DB01797,8,6,204.162000,-3.225400,135.890000,3,14
DB02838,3,1,113.116000,-2.948300,54.100000,1,8
DB08830,6,2,174.108000,-2.596800,100.900000,2,12
DB07824,7,2,194.198000,-0.450480,92.250000,2,14
DB07503,5,1,285.227000,2.332000,64.630000,1,19
DB03136,2,4,303.148000,0.970300,51.610000,1,13
DB08605,5,1,272.160000,0.133320,69.970000,3,17
DB01583,10,6,1471.812000,-0.151400,191.220000,10,49
DB01190,7,4,424.991000,0.389500,102.260000,7,27
DB06206,48,24,2002.176000,-7.681600,769.760000,40,128
DB05383,4,7,110.548000,-5.579300,92.040000,0,6
DB03437,10,5,401.470000,-0.346200,156.000000,7,26
DB08598,3,1,321.877000,4.522590,23.960000,2,21
DB02683,14,6,768.912000,2.776600,201.100000,19,56
DB02576,2,4,76.119000,-1.390900,47.870000,1,5
DB07164,6,1,252.281000,1.760600,68.000000,3,19
DB08682,5,1,355.843000,3.838600,64.630000,4,23
DB00592,2,2,86.138000,-0.820800,24.060000,0,6
DB00793,1,0,361.393000,4.421500,9.230000,2,14
DB04337,1,0,41.053000,0.535490,4.360000,0,3
DB00215,3,0,324.399000,3.812980,36.260000,5,24
DB08485,5,4,358.415000,2.162400,97.990000,4,25
DB00466,13,3,602.589000,-0.929200,190.950000,2,43
DB08805,4,3,244.389000,1.045220,52.740000,5,15
DB00617,4,0,157.169000,0.763700,46.610000,1,11
DB01802,1,0,139.242000,2.046800,3.240000,1,10
DB09374,8,0,774.981000,5.374300,120.650000,14,54
DB08685,3,2,191.278000,1.031300,32.500000,1,14
DB05786,3,2,246.306000,1.665600,57.530000,1,18
DB03850,17,3,857.011000,5.951300,230.150000,15,61
DB02265,0,0,102.253000,2.344500,0.000000,1,6
DB03833,5,1,223.276000,1.301800,68.020000,2,16
DB03939,4,3,114.104000,-0.868700,61.360000,0,8
DB05232,11,9,319.270000,-8.071200,194.690000,1,22
DB06196,32,22,1304.548000,-5.023000,523.720000,30,92
DB08226,7,2,417.502000,4.803300,105.840000,11,30
DB08746,6,0,461.031000,3.569700,56.750000,6,31
DB00819,7,3,222.251000,-0.856100,115.040000,2,13
DB02371,7,5,229.254000,-2.820500,127.090000,7,14
DB06730,2,1,310.437000,3.658600,37.300000,1,23
DB08044,6,2,445.367000,2.887700,77.040000,2,31
DB01204,10,8,444.488000,-0.139200,163.180000,12,32
DB01324,7,3,439.890000,1.655000,109.570000,4,25
DB03730,5,2,164.192000,-0.625000,60.610000,0,12
DB06823,4,2,163.198000,0.345800,69.890000,3,10
DB03970,7,2,363.420000,2.166500,104.260000,3,24
DB02205,4,1,314.381000,3.331000,59.670000,3,23
DB07124,7,2,384.443000,2.572100,97.580000,6,29
DB00570,13,3,810.989000,3.990900,154.100000,7,59
