name,smiles
DB07100,Oc1cc(O)c(-c2[nH]ncc2N2CCNCC2)cc1Cl
DB00127,NCCCNCCCCNCCCN
DB00258,CC(=O)[O-].CC(=O)[O-].[Ca+2]
DB00556,FC(F)(F)C(F)(F)C(F)(F)F
DB03054,BrC(Br)Br
DB06783,N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N.N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N.N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N.[Fe+3].[Fe+3].[Fe+3].[Fe+3]
DB09278,[C]
DB00638,OCC1OC(OC2(COC3(COC4(COC5(COC6(COC7(COC8(COC9(COC%10(COC%11(COC%12(COC%13(COC%14(COC%15(COC%16(COC%17(COC%18(COC%19(COC%20(COC%21(COC%22(COC%23(COC%24(COC%25(COC%26(COC%27(COC%28(COC%29(COC%30(COC%31(COC%32(COC%33(COC%34(COC%35(COC%36(COC%37(COC%38(CO)OC(CO)C(O)C%38O)OC(CO)C(O)C%37O)OC(CO)C(O)C%36O)OC(CO)C(O)C%35O)OC(CO)C(O)C%34O)OC(CO)C(O)C%33O)OC(CO)C(O)C%32O)OC(CO)C(O)C%31O)OC(CO)C(O)C%30O)OC(CO)C(O)C%29O)OC(CO)C(O)C%28O)OC(CO)C(O)C%27O)OC(CO)C(O)C%26O)OC(CO)C(O)C%25O)OC(CO)C(O)C%24O)OC(CO)C(O)C%23O)OC(CO)C(O)C%22O)OC(CO)C(O)C%21O)OC(CO)C(O)C%20O)OC(CO)C(O)C%19O)OC(CO)C(O)C%18O)OC(CO)C(O)C%17O)OC(CO)C(O)C%16O)OC(CO)C(O)C%15O)OC(CO)C(O)C%14O)OC(CO)C(O)C%13O)OC(CO)C(O)C%12O)OC(CO)C(O)C%11O)OC(CO)C(O)C%10O)OC(CO)C(O)C9O)OC(CO)C(O)C8O)OC(CO)C(O)C7O)OC(CO)C(O)C6O)OC(CO)C(O)C5O)OC(CO)C(O)C4O)OC(CO)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O
DB00431,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
DB01968,NC=CS
DB02548,O=P(O)(O)OCC(O)C(O)C(O)C(O)CO
DB09067,CCC(C)C(NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(N)=O)NC(=O)C(CO)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(C)NC(=O)C(CCCCN)NC(=O)C(NC(=O)C(CCSC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(NC(=O)C1CCCN1C(=O)C1CCCN1C(=O)C(CCC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)C(N)CO)C(C)CC)C(C)O)C(C)C)C(C)O)C(=O)NC(C)C(N)=O
DB13145,N[Pt]1(N)OCC(=O)O1
DB09161,[C-]#[N+]CC(C)(C)OC.[C-]#[N+]CC(C)(C)OC.[C-]#[N+]CC(C)(C)OC.[C-]#[N+]CC(C)(C)OC.[C-]#[N+]CC(C)(C)OC.[C-]#[N+]CC(C)(C)OC.[Tc+]
DB03399,C#[N+]CC
DB00657,CNC1(C)C2CCC(C2)C1(C)C
DB04677,C=CCN(C)C(C)Cc1ccccc1
DB09116,[Ca+2].[N-]=C=[N-]
DB00364,O=S(=O)(OCC1OC(OC2(COS(=O)(=O)O[AlH3](O)O)OC(OS(=O)(=O)O[AlH3](O)O)C(OS(=O)(=O)O[AlH3](O)O)C2OS(=O)(=O)O[AlH3](O)O)C(OS(=O)(=O)O[AlH3](O)O)C(OS(=O)(=O)O[AlH3](O)O)C1OS(=O)(=O)O[AlH3](O)O)O[AlH3](O)O
DB03770,N=C(N)NO
DB03843,C=O
DB01794,Nc1nc(=O)c2c([nH]1)NC1OC(COP(=O)([O-])[O-])C([S-])=C([S-])C1N2.Nc1nc(=O)c2c([nH]1)NC1OC(COP(=O)([O-])[O-])C([S-])=C([S-])C1N2.[Mg+2].[W]
DB03733,ClCCCl
DB00927,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1
DB03840,O[Cu+2](O)(n1ccnc1)(n1ccnc1)(n1ccnc1)n1ccnc1
DB06799,C1N2CN3CN1CN(C2)C3
DB01921,ON=C1NCC(O)C(O)C1O
DB07551,CCNc1nc(Cl)nc(NC(C)(C#N)CC)n1
DB00602,CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2.COC1CC(OC2C(C)OC(OC3C(C)=CCC4CC(CC5(CCC(C)C(C(C)C)O5)O4)OC(=O)C4C=C(C)C(O)C5OCC(=CC=CC3C)C45O)CC2OC)OC(C)C1O
DB07111,CCC=CCC=CCC=CCC=CCC=CC=CC(O)CCC(=O)O
DB04361,CN=N
DB04792,N=C(N)c1ccc(OC2COC3C(Oc4ccc(C(=N)N)cc4)COC23)cc1
DB00763,Cn1cc[nH]c1=S
DB02250,c1cc(C[N+]23CCCN4CCN5CCCN(CC2)[Cu]543)ccc1C[N+]12CCCN3CCN4CCCN(CC1)[Cu]432
DB04687,COP(O)(=S)OC
