name,MW,logP,Hdonor,Hakceptor
DB03017,200.322000,3.991900,1.000000,1.000000
DB00173,135.130000,-0.064900,2.000000,4.000000
DB00228,184.491000,2.352800,0.000000,1.000000
DB00761,74.551000,-5.992000,0.000000,0.000000
DB00971,143.094000,0.915600,0.000000,2.000000
DB01356,6.941000,-2.996000,0.000000,0.000000
DB01370,26.982000,-0.380800,0.000000,0.000000
DB01373,42.094000,-0.916200,0.000000,0.000000
DB01378,24.305000,-0.380800,0.000000,0.000000
DB01539,192.306000,2.698780,0.000000,2.000000
DB01592,55.845000,-0.002500,0.000000,0.000000
DB01593,65.390000,-0.002500,0.000000,0.000000
DB02956,160.335000,1.939800,0.000000,5.000000
DB03138,99.449000,-4.756000,0.000000,4.000000
DB03151,286.251000,0.638200,0.000000,0.000000
DB04445,454.398000,1.768900,0.000000,0.000000
DB06723,81.027000,-1.714300,0.000000,3.000000
DB06757,54.938000,-0.002500,0.000000,0.000000
DB09130,63.546000,-0.002500,0.000000,0.000000
DB09145,18.015000,-0.824700,0.000000,0.000000
DB09155,4.003000,0.000000,0.000000,0.000000
DB09278,12.011000,0.081290,0.000000,0.000000
DB09293,153.896125,0.504900,0.000000,0.000000
DB09315,132.905911,0.000000,0.000000,0.000000
DB09325,41.988000,-5.992000,0.000000,0.000000
DB09326,16.029739,0.162000,1.000000,1.000000
DB09420,122.905589,-2.996000,0.000000,0.000000
DB00638,6179.373000,-83.666800,116.000000,191.000000
DB03389,150.130000,-2.582300,4.000000,5.000000
DB04786,1297.302000,6.743240,12.000000,17.000000
DB01169,197.841000,-1.118000,0.000000,3.000000
DB03095,74.147000,0.322400,0.000000,0.000000
DB06783,859.239000,0.284540,0.000000,18.000000
DB09116,80.103000,-0.081700,0.000000,0.000000
DB09152,28.014000,0.030160,0.000000,2.000000
DB03350,155.071000,-3.546100,6.000000,6.000000
DB03054,252.731000,2.454700,0.000000,0.000000
DB09490,217.264103,1.687700,0.000000,0.000000
DB01361,813.979000,3.620900,0.000000,16.000000
DB03770,75.071000,-1.141330,4.000000,2.000000
DB02013,169.710000,0.687600,0.000000,2.000000
DB02671,83.114000,-0.160800,0.000000,1.000000
